Time,	Acc X,	Acc Y,	Acc Z,	GYR X,	GYR Y,	GYR Z
0.768051950701929,	-0.18000000715255737,	0.009999999776482582,	9.539999961853027,	-0.125,	0.0,	-0.125
0.7736993915159138,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.125,	0.0,	-0.125
0.7793468323298985,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.0625,	0.0,	-0.125
0.7849942731438834,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	0.0,	-0.125
0.7906417139578681,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.125
0.7962891547718529,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.1875
0.8019365955858376,	-0.17000000178813934,	-0.009999999776482582,	9.5600004196167,	0.0,	-0.0625,	-0.1875
0.8075840363998225,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.0625,	-0.0625
0.8132314772138072,	-0.1599999964237213,	-0.019999999552965164,	9.529999732971191,	0.0625,	-0.0625,	-0.0625
0.818878918027792,	-0.1599999964237213,	-0.019999999552965164,	9.529999732971191,	0.0625,	-0.0625,	0.0
0.8245263588417767,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	-0.1875,	0.0
0.8301737996557615,	-0.1599999964237213,	0.0,	9.579999923706055,	0.0,	-0.1875,	0.0
0.8358212404697463,	-0.1599999964237213,	0.0,	9.579999923706055,	0.0,	0.0,	-0.125
0.8414686812837311,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	0.0,	-0.125
0.8471161220977158,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0625,	-0.125,	-0.0625
0.8527635629117006,	-0.18000000715255737,	0.0,	9.520000457763672,	0.0625,	-0.125,	-0.0625
0.8584110037256854,	-0.18000000715255737,	0.0,	9.520000457763672,	-0.0625,	0.0,	0.0
0.8640584445396702,	-0.1899999976158142,	0.009999999776482582,	9.539999961853027,	-0.0625,	0.0,	0.0
0.8697058853536549,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	-0.0625,	0.0625,	-0.0625
0.8753533261676397,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	0.0,	-0.0625,	0.0
0.8810007669816244,	-0.20999999344348907,	0.0,	9.539999961853027,	0.0,	-0.0625,	0.0
0.8866482077956093,	-0.18000000715255737,	-0.019999999552965164,	9.5600004196167,	0.0625,	-0.1875,	-0.0625
0.892295648609594,	-0.18000000715255737,	-0.019999999552965164,	9.5600004196167,	0.0625,	-0.1875,	-0.0625
0.8979430894235788,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	0.125,	-0.125
0.9035905302375635,	-0.17000000178813934,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.125,	-0.125
